Type Water Body,State Name,Min Temperature,Min Dissolved Oxygen,Min pH,Min Conductivity,Min BOD,Min_Nitrate_Nitrite,Min Fecal Coliform,Min Total Coliform,Year,Toilet_Access,Open_Defecation,Rainfall,Risk_Level
POND,ASSAM,18,5.2,6.7,47,1.4,0.2,2.0,2,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,20,7,7.5,28,1.6,0.6,300.0,720,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,20,7,7.5,28,1.6,0.6,300.0,720,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,20,7,7.5,28,1.6,0.6,300.0,720,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,20,6.8,7.5,69,1.7,1,300.0,720,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,20,6.8,7.5,69,1.7,1,300.0,720,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,20,6.8,7.5,69,1.7,1,300.0,720,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,22,6.8,7.2,26,2.0,0.8,2.0,360,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,22,6.8,7.2,26,2.0,0.8,2.0,360,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,22,6.8,7.2,26,2.0,0.8,2.0,360,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,21,2.5,6,19,1.6,0.4,2.0,360,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,21,2.5,6,19,1.6,0.4,2.0,360,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,21,2.5,6,19,1.6,0.4,2.0,360,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,22,4.2,7.3,51,1.0,0.6,300.0,360,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,22,4.2,7.3,51,1.0,0.6,300.0,360,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,22,4.2,7.3,51,1.0,0.6,300.0,360,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,22,6,7.1,154,2.3,1,300.0,730,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,22,6,7.1,154,2.3,1,300.0,730,2019,59.6,40.4,201.04888299368932,HIGH
POND,ASSAM,22,6,7.1,154,2.3,1,300.0,730,2019,93.7,6.3,201.04888299368932,MEDIUM
POND,ASSAM,19,5.4,7.3,268,2.1,0.8,700.0,1400,2019,65.0,35.1,201.04888299368932,HIGH
POND,ASSAM,19,5.4,7.3,268,2.1,0.8,700.0,1400,2019,59.6,40.4,201.04888299368932,HIGH
POND,ASSAM,19,5.4,7.3,268,2.1,0.8,700.0,1400,2019,93.7,6.3,201.04888299368932,MEDIUM
POND,ASSAM,21,6.4,7.5,90,1.1,1.5,300.0,910,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,21,6.4,7.5,90,1.1,1.5,300.0,910,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,21,6.4,7.5,90,1.1,1.5,300.0,910,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,15,6,6.1,19,1.0,0.7,300.0,360,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,15,6,6.1,19,1.0,0.7,300.0,360,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,15,6,6.1,19,1.0,0.7,300.0,360,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,21,6,7.5,49,2.0,0.8,2.0,720,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,21,6,7.5,49,2.0,0.8,2.0,720,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,21,6,7.5,49,2.0,0.8,2.0,720,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,23,4.7,7.2,16,1.2,0.9,2.0,360,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,23,4.7,7.2,16,1.2,0.9,2.0,360,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,23,4.7,7.2,16,1.2,0.9,2.0,360,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,21,3.1,7.1,44,1.2,0.7,300.0,730,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,21,3.1,7.1,44,1.2,0.7,300.0,730,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,21,3.1,7.1,44,1.2,0.7,300.0,730,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,20,3.1,7.2,74,1.2,0.7,2.0,360,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,20,3.1,7.2,74,1.2,0.7,2.0,360,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,20,3.1,7.2,74,1.2,0.7,2.0,360,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,21,4.7,6.7,96,1.6,1.3,2.0,300,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,21,4.7,6.7,96,1.6,1.3,2.0,300,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,21,4.7,6.7,96,1.6,1.3,2.0,300,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,18,5.8,6.1,22,1.2,0.2,2.0,2,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,18,5.8,6.1,22,1.2,0.2,2.0,2,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,18,5.8,6.1,22,1.2,0.2,2.0,2,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,20,5.1,6.3,22,1.3,0.6,2.0,2,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,20,5.1,6.3,22,1.3,0.6,2.0,2,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,20,5.1,6.3,22,1.3,0.6,2.0,2,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,20,4.4,6.8,20,1.2,0.4,2.0,360,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,20,4.4,6.8,20,1.2,0.4,2.0,360,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,20,4.4,6.8,20,1.2,0.4,2.0,360,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,20,4.5,6.6,53,1.5,0.8,2.0,2,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,20,4.5,6.6,53,1.5,0.8,2.0,2,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,20,4.5,6.6,53,1.5,0.8,2.0,2,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,22,4.1,6.4,108,2.0,0.7,2.0,2,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,22,4.1,6.4,108,2.0,0.7,2.0,2,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,22,4.1,6.4,108,2.0,0.7,2.0,2,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,23,5.1,7.5,311,1.9,1.1,720.0,1400,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,23,5.1,7.5,311,1.9,1.1,720.0,1400,2019,59.6,40.4,201.04888299368932,HIGH
POND,ASSAM,23,5.1,7.5,311,1.9,1.1,720.0,1400,2019,93.7,6.3,201.04888299368932,MEDIUM
POND,ASSAM,20,5.2,6.8,22,1.8,0.5,2.0,2,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,20,5.2,6.8,22,1.8,0.5,2.0,2,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,20,5.2,6.8,22,1.8,0.5,2.0,2,2019,93.7,6.3,201.04888299368932,LOW
POND,ASSAM,24,5.8,7.1,37,1.8,0.4,2.0,2,2019,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,24,5.8,7.1,37,1.8,0.4,2.0,2,2019,59.6,40.4,201.04888299368932,MEDIUM
POND,ASSAM,24,5.8,7.1,37,1.8,0.4,2.0,2,2019,93.7,6.3,201.04888299368932,LOW
TANK,ASSAM,18,5.3,6.8,20,1.5,0.2,2.0,2,2019,65.0,35.1,201.04888299368932,MEDIUM
TANK,ASSAM,18,5.3,6.8,20,1.5,0.2,2.0,2,2019,59.6,40.4,201.04888299368932,MEDIUM
TANK,ASSAM,18,5.3,6.8,20,1.5,0.2,2.0,2,2019,93.7,6.3,201.04888299368932,LOW
LAKE,BIHAR,19,9.3,7.7,239,2.7,0,4000.0,11000,2019,23.1,76.9,82.7820908082079,HIGH
LAKE,BIHAR,19,9.3,7.7,239,2.7,0,4000.0,11000,2019,17.599999999999998,82.4,82.7820908082079,HIGH
LAKE,BIHAR,19,9.3,7.7,239,2.7,0,4000.0,11000,2019,69.0,31.0,82.7820908082079,MEDIUM
LAKE,BIHAR,17,9.2,7.6,353,1.4,0.12,180.0,1200,2019,23.1,76.9,82.7820908082079,MEDIUM
LAKE,BIHAR,17,9.2,7.6,353,1.4,0.12,180.0,1200,2019,17.599999999999998,82.4,82.7820908082079,MEDIUM
LAKE,BIHAR,17,9.2,7.6,353,1.4,0.12,180.0,1200,2019,69.0,31.0,82.7820908082079,LOW
LAKE,BIHAR,15,7,8.3,858,2.8,0.06,1400.0,3300,2019,23.1,76.9,82.7820908082079,HIGH
LAKE,BIHAR,15,7,8.3,858,2.8,0.06,1400.0,3300,2019,17.599999999999998,82.4,82.7820908082079,HIGH
LAKE,BIHAR,15,7,8.3,858,2.8,0.06,1400.0,3300,2019,69.0,31.0,82.7820908082079,MEDIUM
POND,BIHAR,17,7.8,7,658,2.6,0,2100.0,1100,2019,23.1,76.9,82.7820908082079,HIGH
POND,BIHAR,17,7.8,7,658,2.6,0,2100.0,1100,2019,17.599999999999998,82.4,82.7820908082079,HIGH
POND,BIHAR,17,7.8,7,658,2.6,0,2100.0,1100,2019,69.0,31.0,82.7820908082079,MEDIUM
POND,BIHAR,16,7.8,7.3,521,2.5,0,930.0,3300,2019,23.1,76.9,82.7820908082079,HIGH
POND,BIHAR,16,7.8,7.3,521,2.5,0,930.0,3300,2019,17.599999999999998,82.4,82.7820908082079,HIGH
POND,BIHAR,16,7.8,7.3,521,2.5,0,930.0,3300,2019,69.0,31.0,82.7820908082079,MEDIUM
LAKE,CHANDIGARH,16,6.2,7.2,210,1.0,0,2.0,4,2019,87.69999999999999,12.4,93.977511675,LOW
LAKE,CHANDIGARH,16,6.2,7.2,210,1.0,0,2.0,4,2019,88.0,12.0,93.977511675,LOW
LAKE,CHANDIGARH,16,6.2,7.2,210,1.0,0,2.0,4,2019,87.6,12.4,93.977511675,LOW
LAKE,CHHATTISGARH,28,5.8,7.2,338,2.5,0,2.0,2,2019,24.7,75.4,109.70690853628008,MEDIUM
LAKE,CHHATTISGARH,28,5.8,7.2,338,2.5,0,2.0,2,2019,14.5,85.5,109.70690853628008,MEDIUM
LAKE,CHHATTISGARH,28,5.8,7.2,338,2.5,0,2.0,2,2019,60.2,39.8,109.70690853628008,MEDIUM
POND,CHHATTISGARH,21,6,7.2,338,2.4,0,2.0,2,2019,24.7,75.4,109.70690853628008,MEDIUM
POND,CHHATTISGARH,21,6,7.2,338,2.4,0,2.0,2,2019,14.5,85.5,109.70690853628008,MEDIUM
POND,CHHATTISGARH,21,6,7.2,338,2.4,0,2.0,2,2019,60.2,39.8,109.70690853628008,MEDIUM
LAKE,NCT OF DELHI,7.4,6.8,7.4,999,16.0,0.91,11000.0,17000,2019,89.6,10.5,123.86521378936824,MEDIUM
LAKE,NCT OF DELHI,7.4,6.8,7.4,999,16.0,0.91,11000.0,17000,2019,76.3,23.7,123.86521378936824,MEDIUM
LAKE,NCT OF DELHI,7.4,6.8,7.4,999,16.0,0.91,11000.0,17000,2019,89.8,10.2,123.86521378936824,MEDIUM
LAKE,NCT OF DELHI,22,0,6.9,235,1.7,BDL,220.0,1400,2019,89.6,10.5,123.86521378936824,LOW
LAKE,NCT OF DELHI,22,0,6.9,235,1.7,BDL,220.0,1400,2019,76.3,23.7,123.86521378936824,LOW
LAKE,NCT OF DELHI,22,0,6.9,235,1.7,BDL,220.0,1400,2019,89.8,10.2,123.86521378936824,LOW
LAKE,NCT OF DELHI,8.7,16.4,9.2,760,30.0,0.91,49000.0,130000,2019,89.6,10.5,123.86521378936824,MEDIUM
LAKE,NCT OF DELHI,8.7,16.4,9.2,760,30.0,0.91,49000.0,130000,2019,76.3,23.7,123.86521378936824,MEDIUM
LAKE,NCT OF DELHI,8.7,16.4,9.2,760,30.0,0.91,49000.0,130000,2019,89.8,10.2,123.86521378936824,MEDIUM
LAKE,GOA,27,5.4,6.4,36,,BDL,,BDL,2019,79.7,20.3,256.42437126887506,LOW
LAKE,GOA,27,5.4,6.4,36,,BDL,,BDL,2019,70.89999999999999,29.1,256.42437126887506,LOW
LAKE,GOA,27,5.4,6.4,36,,BDL,,BDL,2019,85.19999999999999,14.7,256.42437126887506,LOW
LAKE,GOA,27,6,5.6,13,,BDL,780.0,1300,2019,79.7,20.3,256.42437126887506,MEDIUM
LAKE,GOA,27,6,5.6,13,,BDL,780.0,1300,2019,70.89999999999999,29.1,256.42437126887506,MEDIUM
LAKE,GOA,27,6,5.6,13,,BDL,780.0,1300,2019,85.19999999999999,14.7,256.42437126887506,MEDIUM
LAKE,GOA,27,6.3,6.4,36,,0,2.0,BDL,2019,79.7,20.3,256.42437126887506,LOW
LAKE,GOA,27,6.3,6.4,36,,0,2.0,BDL,2019,70.89999999999999,29.1,256.42437126887506,LOW
LAKE,GOA,27,6.3,6.4,36,,0,2.0,BDL,2019,85.19999999999999,14.7,256.42437126887506,LOW
LAKE,GOA,26,2.2,6.4,52,,BDL,490.0,790,2019,79.7,20.3,256.42437126887506,MEDIUM
LAKE,GOA,26,2.2,6.4,52,,BDL,490.0,790,2019,70.89999999999999,29.1,256.42437126887506,MEDIUM
LAKE,GOA,26,2.2,6.4,52,,BDL,490.0,790,2019,85.19999999999999,14.7,256.42437126887506,LOW
LAKE,GOA,26,5.7,6.2,29,,0.05,78.0,130,2019,79.7,20.3,256.42437126887506,LOW
LAKE,GOA,26,5.7,6.2,29,,0.05,78.0,130,2019,70.89999999999999,29.1,256.42437126887506,LOW
LAKE,GOA,26,5.7,6.2,29,,0.05,78.0,130,2019,85.19999999999999,14.7,256.42437126887506,LOW
LAKE,GOA,27,4.6,6.3,60,,0,20.0,40,2019,79.7,20.3,256.42437126887506,LOW
LAKE,GOA,27,4.6,6.3,60,,0,20.0,40,2019,70.89999999999999,29.1,256.42437126887506,LOW
LAKE,GOA,27,4.6,6.3,60,,0,20.0,40,2019,85.19999999999999,14.7,256.42437126887506,LOW
LAKE,GOA,28,1.9,6,213,,0,7900.0,14000,2019,79.7,20.3,256.42437126887506,MEDIUM
LAKE,GOA,28,1.9,6,213,,0,7900.0,14000,2019,70.89999999999999,29.1,256.42437126887506,MEDIUM
LAKE,GOA,28,1.9,6,213,,0,7900.0,14000,2019,85.19999999999999,14.7,256.42437126887506,MEDIUM
LAKE,GOA,27,4.1,6.1,59,,BDL,200.0,450,2019,79.7,20.3,256.42437126887506,MEDIUM
LAKE,GOA,27,4.1,6.1,59,,BDL,200.0,450,2019,70.89999999999999,29.1,256.42437126887506,MEDIUM
LAKE,GOA,27,4.1,6.1,59,,BDL,200.0,450,2019,85.19999999999999,14.7,256.42437126887506,LOW
LAKE,GOA,26,7,6.1,50,,BDL,2300.0,3300,2019,79.7,20.3,256.42437126887506,MEDIUM
LAKE,GOA,26,7,6.1,50,,BDL,2300.0,3300,2019,70.89999999999999,29.1,256.42437126887506,MEDIUM
LAKE,GOA,26,7,6.1,50,,BDL,2300.0,3300,2019,85.19999999999999,14.7,256.42437126887506,MEDIUM
LAKE,GUJARAT,28,6.1,7.4,415,4.0,0.07,2.0,2,2019,57.4,42.7,90.42157862604014,MEDIUM
LAKE,GUJARAT,28,6.1,7.4,415,4.0,0.07,2.0,2,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,28,6.1,7.4,415,4.0,0.07,2.0,2,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,0,6.2,7.4,192,0.3,0.38,2.0,4,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,0,6.2,7.4,192,0.3,0.38,2.0,4,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,0,6.2,7.4,192,0.3,0.38,2.0,4,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,0,2.7,7.2,775,0.9,0.38,26.0,63,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,0,2.7,7.2,775,0.9,0.38,26.0,63,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,0,2.7,7.2,775,0.9,0.38,26.0,63,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,27,7.1,7.7,335,1.7,0,17.0,70,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,27,7.1,7.7,335,1.7,0,17.0,70,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,27,7.1,7.7,335,1.7,0,17.0,70,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,24,3.2,7.6,698,0.7,0.12,4.0,26,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,24,3.2,7.6,698,0.7,0.12,4.0,26,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,24,3.2,7.6,698,0.7,0.12,4.0,26,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,23,5.4,7.1,440,4.1,0.25,6.0,21,2019,57.4,42.7,90.42157862604014,MEDIUM
LAKE,GUJARAT,23,5.4,7.1,440,4.1,0.25,6.0,21,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,23,5.4,7.1,440,4.1,0.25,6.0,21,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,22,5.1,7.4,401,1.9,0.02,6.0,26,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,22,5.1,7.4,401,1.9,0.02,6.0,26,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,22,5.1,7.4,401,1.9,0.02,6.0,26,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,25,2.7,8.2,488,0.4,0.38,2.0,21,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,25,2.7,8.2,488,0.4,0.38,2.0,21,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,25,2.7,8.2,488,0.4,0.38,2.0,21,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,27,6.6,7.4,269,0.4,0.11,17.0,49,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,27,6.6,7.4,269,0.4,0.11,17.0,49,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,27,6.6,7.4,269,0.4,0.11,17.0,49,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,26,6,7.3,318,0.7,0.01,6.0,26,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,26,6,7.3,318,0.7,0.01,6.0,26,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,26,6,7.3,318,0.7,0.01,6.0,26,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,23,5.4,7.7,415,1.3,0,2.0,BDL,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,23,5.4,7.7,415,1.3,0,2.0,BDL,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,23,5.4,7.7,415,1.3,0,2.0,BDL,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,24,5,7.6,375,0.5,0.02,,BDL,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,24,5,7.6,375,0.5,0.02,,BDL,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,24,5,7.6,375,0.5,0.02,,BDL,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,25,3.1,7.2,328,0.4,0.36,4.0,33,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,25,3.1,7.2,328,0.4,0.36,4.0,33,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,25,3.1,7.2,328,0.4,0.36,4.0,33,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,0,0,0,0,0.0,0,2.0,2,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,0,0,0,0,0.0,0,2.0,2,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,0,0,0,0,0.0,0,2.0,2,2019,87.7,12.3,90.42157862604014,LOW
LAKE,GUJARAT,24,0,6.5,158,0.4,0,4.0,47,2019,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,24,0,6.5,158,0.4,0,4.0,47,2019,33.0,67.0,90.42157862604014,MEDIUM
LAKE,GUJARAT,24,0,6.5,158,0.4,0,4.0,47,2019,87.7,12.3,90.42157862604014,LOW
POND,GUJARAT,26,6.2,7.4,521,0.9,0.04,6.0,38,2019,57.4,42.7,90.42157862604014,LOW
POND,GUJARAT,26,6.2,7.4,521,0.9,0.04,6.0,38,2019,33.0,67.0,90.42157862604014,MEDIUM
POND,GUJARAT,26,6.2,7.4,521,0.9,0.04,6.0,38,2019,87.7,12.3,90.42157862604014,LOW
POND,GUJARAT,24,6,7,311,0.8,0.02,6.0,33,2019,57.4,42.7,90.42157862604014,LOW
POND,GUJARAT,24,6,7,311,0.8,0.02,6.0,33,2019,33.0,67.0,90.42157862604014,MEDIUM
POND,GUJARAT,24,6,7,311,0.8,0.02,6.0,33,2019,87.7,12.3,90.42157862604014,LOW
TANK,GUJARAT,25,BDL,7.3,367,2.2,0,4.0,6,2019,57.4,42.7,90.42157862604014,MEDIUM
TANK,GUJARAT,25,BDL,7.3,367,2.2,0,4.0,6,2019,33.0,67.0,90.42157862604014,MEDIUM
TANK,GUJARAT,25,BDL,7.3,367,2.2,0,4.0,6,2019,87.7,12.3,90.42157862604014,LOW
LAKE,HARYANA,19,4.4,7.5,197,0.8,0,500.0,2100,2019,68.6,31.4,60.14914662266175,LOW
LAKE,HARYANA,19,4.4,7.5,197,0.8,0,500.0,2100,2019,56.0,43.9,60.14914662266175,MEDIUM
LAKE,HARYANA,19,4.4,7.5,197,0.8,0,500.0,2100,2019,89.9,10.1,60.14914662266175,LOW
LAKE,HARYANA,18,2.1,7,329,1.8,0.02,9000.0,5420,2019,68.6,31.4,60.14914662266175,MEDIUM
LAKE,HARYANA,18,2.1,7,329,1.8,0.02,9000.0,5420,2019,56.0,43.9,60.14914662266175,MEDIUM
LAKE,HARYANA,18,2.1,7,329,1.8,0.02,9000.0,5420,2019,89.9,10.1,60.14914662266175,LOW
LAKE,HARYANA,6,6.2,6.8,190,3.0,0,2.0,BDL,2019,68.6,31.4,60.14914662266175,LOW
LAKE,HARYANA,6,6.2,6.8,190,3.0,0,2.0,BDL,2019,56.0,43.9,60.14914662266175,MEDIUM
LAKE,HARYANA,6,6.2,6.8,190,3.0,0,2.0,BDL,2019,89.9,10.1,60.14914662266175,LOW
LAKE,HIMACHAL PRADESH,15,8.9,7.7,136,0.2,0.09,43.0,350,2019,69.1,30.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,15,8.9,7.7,136,0.2,0.09,43.0,350,2019,66.5,33.4,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,15,8.9,7.7,136,0.2,0.09,43.0,350,2019,89.1,10.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,9.3,8.2,7.1,104,0.1,0.09,2.0,33,2019,69.1,30.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,9.3,8.2,7.1,104,0.1,0.09,2.0,33,2019,66.5,33.4,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,9.3,8.2,7.1,104,0.1,0.09,2.0,33,2019,89.1,10.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,13,5.7,7.4,444,0.5,0.01,14.0,33,2019,69.1,30.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,13,5.7,7.4,444,0.5,0.01,14.0,33,2019,66.5,33.4,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,13,5.7,7.4,444,0.5,0.01,14.0,33,2019,89.1,10.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,11,5.3,6.9,181,3.0,0.14,84.0,920,2019,69.1,30.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,11,5.3,6.9,181,3.0,0.14,84.0,920,2019,66.5,33.4,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,11,5.3,6.9,181,3.0,0.14,84.0,920,2019,89.1,10.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,5,5.2,6.8,49,0.9,0.68,2.0,2,2019,69.1,30.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,5,5.2,6.8,49,0.9,0.68,2.0,2,2019,66.5,33.4,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,5,5.2,6.8,49,0.9,0.68,2.0,2,2019,89.1,10.9,91.06631499593747,LOW
LAKE,JAMMU & KASHMIR,3.5,4.6,7.3,139,1.6,0,2.0,BDL,2019,51.2,48.8,88.19377632735228,LOW
LAKE,JAMMU & KASHMIR,3.5,4.6,7.3,139,1.6,0,2.0,BDL,2019,38.6,61.4,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,3.5,4.6,7.3,139,1.6,0,2.0,BDL,2019,87.5,12.5,88.19377632735228,LOW
LAKE,JAMMU & KASHMIR,15,7.1,7.6,144,0.3,0.01,2.0,BDL,2019,51.2,48.8,88.19377632735228,LOW
LAKE,JAMMU & KASHMIR,15,7.1,7.6,144,0.3,0.01,2.0,BDL,2019,38.6,61.4,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,15,7.1,7.6,144,0.3,0.01,2.0,BDL,2019,87.5,12.5,88.19377632735228,LOW
LAKE,JAMMU & KASHMIR,8.1,4.2,7.7,144,0.4,0.01,2.0,BDL,2019,51.2,48.8,88.19377632735228,LOW
LAKE,JAMMU & KASHMIR,8.1,4.2,7.7,144,0.4,0.01,2.0,BDL,2019,38.6,61.4,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,8.1,4.2,7.7,144,0.4,0.01,2.0,BDL,2019,87.5,12.5,88.19377632735228,LOW
LAKE,JAMMU & KASHMIR,18,5.1,8.2,140,4.5,0.01,2.0,BDL,2019,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,18,5.1,8.2,140,4.5,0.01,2.0,BDL,2019,38.6,61.4,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,18,5.1,8.2,140,4.5,0.01,2.0,BDL,2019,87.5,12.5,88.19377632735228,LOW
LAKE,JAMMU & KASHMIR,16,4.8,8.1,140,4.1,0.01,2.0,BDL,2019,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,16,4.8,8.1,140,4.1,0.01,2.0,BDL,2019,38.6,61.4,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,16,4.8,8.1,140,4.1,0.01,2.0,BDL,2019,87.5,12.5,88.19377632735228,LOW
LAKE,JAMMU & KASHMIR,3.9,2.2,7.2,138,2.0,0,2.0,BDL,2019,51.2,48.8,88.19377632735228,LOW
LAKE,JAMMU & KASHMIR,3.9,2.2,7.2,138,2.0,0,2.0,BDL,2019,38.6,61.4,88.19377632735228,MEDIUM
